,source,target,type,url,content
0,ADP,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
1,Aéroport de Beauvais,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
2,Aéroport de Mérignac,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
3,Communauté de commune de Versailles,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
4,Communauté de communes de Nantes,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
5,Communauté de communes Drôme Sud Provence,VIZZIA,a pour client,https://www.vizzia.com/nos-references,"Page not found
The page you are looking for doesn't exist or has been moved."
6,Communauté de communes Grand Paris Sud,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
7,Ministère de l'Intérieur,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
8,Monaco,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
9,Préfecture de Police de Paris,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information,"Mission d’information flash sur le bilan des jeux olympiques et paralympiques dans le domaine de la sécurité


Accéder à la page de la mission flash"
10,Préfecture de Police de Paris,AVM INTEGRATION,a pour client,fiche_15485_Presentation_AVM.pdf,
11,Préfecture de Police de Paris,EQUANS,a pour client,fiche_19771_Presentation_Generale_Equans_Digital_(avec_pôles).pdf,
12,Préfecture du Rhône,EQUANS,a pour client,fiche_19771_Interconnexion_video_BELVEDERE_-_plaquette_commerciale_v3.pdf,
13,RATP,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information|https://www.senat.fr/rap/r24-374/r24-3745.html#fnref22,"Erreur 404

                        Oups !
                        Désolés, nous avons perdu de vue votre page..."
14,RATP,EQUANS,a pour client,https://www.ugap.fr/editeurs-logiciels/ineo-tinea-f19771,La page de présentation du fournisseur n° 19771 est inexistante.
15,RATP,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=775663438#&fiche=W3UW57YV,Comprendre le rôle et le fonctionnement de l’institution chargée de promouvoir la probité des responsables publics.
16,SNCF,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information|https://www.senat.fr/rap/r24-374/r24-3745.html#fnref22,"Erreur 404

                        Oups !
                        Désolés, nous avons perdu de vue votre page..."
17,SNCF,THEMYS,a pour client,https://www.themysgroup.com/details-videosurveillance+cameras-154.html,"Cookies management panel          By allowing these third party services, you accept their cookies and the use of tracking technologies necessary for their proper functioning.           Preference for all services     Allow all cookies               Deny all cookies"
18,SNCF,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=H659245363#&fiche=Y3K4FXKH,Comprendre le rôle et le fonctionnement de l’institution chargée de promouvoir la probité des responsables publics.
19,ville d'Aix en Provence,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
20,ville d'Ajaccio,AVM INTEGRATION,a pour client,fiche_15485_Presentation_AVM.pdf,
21,ville d'Annemasse,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
22,ville d'Antibes,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
23,ville d'Arras,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
24,ville d'Athis-Mons,VIZZIA,a pour client,https://www.vizzia.com/nos-references,"Page not found
The page you are looking for doesn't exist or has been moved."
25,ville de Bé­thune,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
26,ville de Bonifacio,VIZZIA,a pour client,https://www.vizzia.com/nos-references|https://www.ugap.fr/editeurs-logiciels/alphaiota-vizzia-f31826,"Page not found
The page you are looking for doesn't exist or has been moved."
