source,target,type,url
ADP,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger
Aéroport de Beauvais,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf
Aéroport de Mérignac,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf
Communauté de commune de Versailles,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf
Communauté de communes de Nantes,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf
Communauté de communes Drôme Sud Provence,VIZZIA,a pour client,https://www.vizzia.com/nos-references
Communauté de communes Grand Paris Sud,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf
Ministère de l'Intérieur,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger
Monaco,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger
Préfecture de Police de Paris,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information
Préfecture de Police de Paris,AVM INTEGRATION,a pour client,fiche_15485_Presentation_AVM.pdf
Préfecture de Police de Paris,EQUANS,a pour client,fiche_19771_Presentation_Generale_Equans_Digital_(avec_pôles).pdf
Préfecture du Rhône,EQUANS,a pour client,fiche_19771_Interconnexion_video_BELVEDERE_-_plaquette_commerciale_v3.pdf
RATP,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information|https://www.senat.fr/rap/r24-374/r24-3745.html#fnref22
RATP,EQUANS,a pour client,https://www.ugap.fr/editeurs-logiciels/ineo-tinea-f19771
RATP,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=775663438#&fiche=W3UW57YV
SNCF,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information|https://www.senat.fr/rap/r24-374/r24-3745.html#fnref22
SNCF,THEMYS,a pour client,https://www.themysgroup.com/details-videosurveillance+cameras-154.html
SNCF,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=H659245363#&fiche=Y3K4FXKH
ville d'Aix en Provence,CASD,a pour client,fiche_17224_CASD_plaquette.pdf
ville d'Ajaccio,AVM INTEGRATION,a pour client,fiche_15485_Presentation_AVM.pdf
