,source,target,type,url,content
0,ADP,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
1,Aéroport de Beauvais,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
2,Aéroport de Mérignac,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
3,Communauté de commune de Versailles,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
4,Communauté de communes de Nantes,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
5,Communauté de communes Drôme Sud Provence,VIZZIA,a pour client,https://www.vizzia.com/nos-references,
6,Communauté de communes Grand Paris Sud,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
7,Ministère de l'Intérieur,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
8,Monaco,WINTICS,a pour client,https://www.ugap.fr/bff/bff-fiche-fournisseur-prod/api/v1/fiches/23787/documents/17729/actions/telecharger,
9,Préfecture de Police de Paris,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information,
10,Préfecture de Police de Paris,AVM INTEGRATION,a pour client,fiche_15485_Presentation_AVM.pdf,
11,Préfecture de Police de Paris,EQUANS,a pour client,fiche_19771_Presentation_Generale_Equans_Digital_(avec_pôles).pdf,
12,Préfecture du Rhône,EQUANS,a pour client,fiche_19771_Interconnexion_video_BELVEDERE_-_plaquette_commerciale_v3.pdf,
13,RATP,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information|https://www.senat.fr/rap/r24-374/r24-3745.html#fnref22,
14,RATP,EQUANS,a pour client,https://www.ugap.fr/editeurs-logiciels/ineo-tinea-f19771,
15,RATP,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=775663438#&fiche=W3UW57YV,
16,SNCF,WINTICS,a pour client,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information|https://www.senat.fr/rap/r24-374/r24-3745.html#fnref22,
17,SNCF,THEMYS,a pour client,https://www.themysgroup.com/details-videosurveillance+cameras-154.html,
18,SNCF,HATVP,fait du lobbying,https://www.hatvp.fr/fiche-organisation/?organisation=H659245363#&fiche=Y3K4FXKH,
19,ville d'Aix en Provence,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
20,ville d'Ajaccio,AVM INTEGRATION,a pour client,fiche_15485_Presentation_AVM.pdf,
21,ville d'Annemasse,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
22,ville d'Antibes,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
23,ville d'Arras,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
24,ville d'Athis-Mons,VIZZIA,a pour client,https://www.vizzia.com/nos-references,
25,ville de Bé­thune,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
26,ville de Bonifacio,VIZZIA,a pour client,https://www.vizzia.com/nos-references|https://www.ugap.fr/editeurs-logiciels/alphaiota-vizzia-f31826,
27,ville de Bordeaux,IER,a pour client,https://www.ugap.fr/editeurs-logiciels/impression-enregistre-resultat-ier-f2137,
28,ville de Bourg-en-Bresse,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
29,ville de Bourges,VIZZIA,a pour client,https://www.vizzia.com/nos-references,Coût de collecte et de traitement recouvert
30,ville de Calais,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
31,ville de Cannes,VIDETICS,est utilisé par,https://www.assemblee-nationale.fr/dyn/17/rapports/cion_lois/l17b1156_rapport-information,
32,ville de Cannes,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
33,ville de Chalon-sur-Saône,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
34,ville de Chambéry,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
35,ville de Chamonix,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
36,ville de Chanteloup les vignes,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
37,ville de Chartres Métropole,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
38,ville de Chatou,AVM INTEGRATION,a pour client,fiche_15485_Références_CAPT_IMMAT.pdf,
39,ville de Colmar,CASD,a pour client,fiche_17224_CASD_plaquette.pdf,
